id,metadata
1,{'title': 'Not All Rainbows and Sunshine: The Darker Side of\xa0ChatGPT Part 1: The Risks and Ethical\xa0Issues…'}
2,{'title': 'Ethics in AI: Potential Root Causes for Biased Algorithms An alternative approach to understanding bias in\xa0data'}
3,"{'title': 'Python Tuple, The Whole Truth and Only the Truth: Let’s Dig\xa0Deep nan'}"
4,{'title': 'Dates and Subqueries in\xa0SQL Working with dates in\xa0SQL'}
5,{'title': 'Temporal Differences with Python: First Sample-Based Reinforcement Learning Algorithm nan'}
6,{'title': 'Going Under the Hood of Character-Level RNNs: A NumPy-based Implementation Guide Due to the\xa0recent…'}
7,"{'title': 'ChatGPT isn’t all it seems, read this before you use\xa0it. ChatGPT is an\xa0AI…'}"
8,{'title': '10 Subtle Strategies I Wish I Knew When I Had 23 Email Subscribers and Made $0\xa0Online nan'}
9,{'title': 'How To Start A Niche Site in Under 3 Hours (With Checklist) How to build a niche site in only one\xa0hour…'}
10,{'title': 'Don’t Become a Full-Time Content Creator If You Have Low-Risk Tolerance A friendly warning before\xa0you…'}
11,{'title': 'Why Storytelling Is A Critical Skill For Startup\xa0Founders nan'}
12,{'title': 'Why My Side Hustle Stuck After 3 Years and What I Want to Do to Improve\xa0It A change is required\xa0to…'}
13,{'title': 'Kill Your Perfectionism with an Abundance Mindset Perfectionism is a\xa0recipe…'}
14,"{'title': '<strong class=""markup--strong markup--h3-strong"">How My MBA Made Me a Better Fiction\xa0Writer</strong> Six years after graduating, I’m almost glad I went\xa0there'}"
15,"{'title': 'For this Writer, Self-Promotion isn’t\xa0Easy Pushing a new book on social media is a skill set I wish\xa0I…'}"
16,{'title': 'How to Start Your Novel with Momentum to Finish\xa0It 3 strategies to a great beginning.'}
17,"{'title': '<strong class=""markup--strong markup--h3-strong"">Using Propensity-Score Matching to Build Leading Indicators</strong> <strong class=""markup--strong markup--h4-strong"">A short guide on building activation</strong>'}"
18,{'title': 'Coupon Collector’s Problem: A Probability Masterpiece Unpacking the intricacies of a\xa0classic…'}
19,{'title': 'R for Data Analysis: How to Find the Perfect Cocomelon Video for Your\xa0Kids How to Build End-to-End…'}
20,"{'title': 'Sparkles aren’t good\xa0UX✨ Even if they’re aesthetically pleasing, you can’t substitute important…'}"
21,{'title': 'Visualizing direction and the use of\xa0arrows How graphic arrows support our natural abilities and\xa0make…'}
22,"{'title': 'Building massive prototypes in\xa0Figma Why, how and what of creating complex prototypes.'}"
23,{'title': '5 design projects using non-human personas to give nature a\xa0voice Interviews with practitioners show…'}
24,{'title': 'Conversational AI search: beware of smoke and\xa0mirrors Search bots based on LLMs contain hidden\xa0dangers'}
25,"{'title': 'I’ve Been Writing Online for the Last 9 Years and Made 7 Figures. If I Had to Start Again, Here’s What I’d\xa0Do. nan'}"
26,{'title': 'How to Price Your Freelance Writing Services and Make $5K+/Month Written by someone who’s doing\xa0just…'}
27,{'title': 'How I Balanced a Side Hustle With a 9–5 Until I Quit for 4-Hour\xa0Workdays Here are various tips for\xa0you.'}
28,{'title': 'How I’ve Showed Up To Write on the Internet for 1000\xa0Days The things you’ve never been\xa0told'}
29,"{'title': '<strong class=""markup--strong markup--h3-strong"">Here’s How I Would Make My $1 Online With the Help of AI if I Had to Start\xa0Over</strong> It’s easy but you\xa0have…'}"
30,"{'title': '<strong class=""markup--strong markup--h3-strong""><em class=""markup--em markup--h3-em"">The Secret to Unlocking Your Brain’s Capacity: A Simple Hack for Balancing Quick Critical Thinking and\xa0Solving</em></strong> nan'}"
31,{'title': 'The Three Writing Exercises That Actually Help Me Out Of Fiction\xa0Ruts And a bonus productivity tip…'}
32,{'title': 'Ten Months To Publication: So Who Is Kaye\xa0Macey? Fictional characters and method\xa0writing.'}
33,"{'title': '<strong class=""markup--strong markup--h3-strong"">Overcoming Automatic Speech Recognition Challenges: The Next\xa0Frontier</strong> Advancements, Opportunities, and…'}"
34,{'title': 'Tackling the Problems of a Changing World with\xa0Data nan'}
35,{'title': 'Why is it so difficult to successfully get AI technologies adopted into clinical\xa0care? nan'}
36,{'title': 'Maintaining the Quality of Your Feature\xa0Store The fundamentals of feature stores and a few tips on\xa0how…'}
37,{'title': 'From burnout to balance: why are so many UX designers fatigued? There’s a mental health problem in\xa0UX…'}
